{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Men, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Men, Centroid: (394.01669, -38.66901)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Men, Centroid: (-34.49109, -343.48631)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Women, Centroid: (395.59663, -117.23589)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Women, Centroid: (-34.49109, -401.78215)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Women, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Women, Centroid: (420.90263, -205.94907)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (475.63693, -73.23835)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (383.14222, -161.19853)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (304.35059, -550.28216)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (128.0, 320.0)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (26.96444, -232.39882)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (-282.4877, -554.82496)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (121.87442, 470.72532)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (-0.0, -21.33333)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (595.686, -235.37222)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: X, Centroid: (456.87988, 305.23745)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: None, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-001, Centroid: (2.59785, -145.3783)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-002 - 3-014, Centroid: (15.30849, -48.56804)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-010 - 3-053, Centroid: (102.86953, -52.42188)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-020 - 3-030, Centroid: (158.39747, -145.3783)}
