{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-420.41711, 179.7269)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-400.04477, -62.36072)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-343.93753, -112.33474)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-428.5908, 246.26792)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (459.40751, -121.1727)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (5.08193, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (96.25884, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-474.978, -163.95151)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-152.62939, -186.91387)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: None, Centroid: None}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 1, Room: 139, Centroid: (-90.84378, 357.58475)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 1, Room: 141, Centroid: (-90.84378, 422.06742)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 200, Centroid: (321.27967, -528.044)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 201, Centroid: (252.19714, -589.56763)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 202, Centroid: (252.19714, -466.18376)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 203, Centroid: (188.87943, -589.56763)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 204, Centroid: (188.87943, -466.18376)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 205, Centroid: (123.80392, -589.56763)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 206, Centroid: (127.96322, -466.18376)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 207, Centroid: (53.52197, -589.56763)}
